project_number,bid_total,engineers_estimate,bid_days,start_date
C16565,293322.15,289452.5,55.96228295450189,2008-07-14
C16567,225843.5,278970.0,153.8962781248802,2009-02-27
C16569,3985000.0,4561739.1,150.0,2008-06-11
C16574,534191.7,483191.8,41.97171221587642,2007-12-05
C16586,2712914.95,3120689.2,92.0,2009-01-21
C16595,750374.3,708773.8,62.95756832381464,2008-05-21
C16596,4129016.82,3987595.4,195.86799034075665,2009-05-04
C16600,236195.0,215083.0,55.96228295450189,2008-07-14
C16602,28247331.73,28325060.36,616.9841695733834,2014-08-18
C16604,4470973.7,5161352.85,198.0,2008-04-03
C16605,4515688.5,5862417.6,98.0,2008-04-25
C16606,344563.8,358550.0,34.97642684656368,2008-06-16
C16617,5012675.57,6008439.75,104.92928053969104,2008-03-04
C16618,299000.0,247485.0,48.96699758518916,2008-03-20
C16619,348461.15,333805.0,55.96228295450189,2009-05-05
C16620,4611791.0,4318841.0,307.7925562497604,2009-02-11
C16621,696740.75,635812.5,139.90570738625473,2008-02-05
C16623,314002.5,284609.0,48.96699758518916,2008-07-30
C16624,637840.0,698318.0,27.981141477250947,2007-11-29
C16625,200432.83,166472.0,27.981141477250947,2009-07-20
C16636,722341.0,704772.0,54.0,2008-06-16
C16639,19779165.71,18286286.0,360.0,2011-08-01
C16641R,5134640.6,5191528.85,139.90570738625473,2008-06-23
C16642,566800.86,686344.2,111.9245659090038,2008-10-13
C16645,151173.4,149974.0,10.0,2007-12-02
C16646,197500.0,199896.15,34.97642684656368,2008-09-15
C16650,10672144.15,8311419.75,125.91513664762928,2012-01-03
C16657,18518545.92,18795103.9,489.6699758518916,2010-06-21
C16658,328730.0,396411.5,111.9245659090038,2008-08-18
C16661,4108320.58,4349481.5,319.0,2009-01-06
C16664,3682724.47,3185567.5,125.91513664762928,2012-09-17
C16679,9187183.17,7852517.6,335.7736977270114,2011-08-08
C16680,2965399.12,3187123.7,69.95285369312737,2008-05-23
C16684,568645.0,471771.0,46.16888343746407,2008-08-05
C16689,1591390.71,1443450.0,153.8962781248802,2009-11-02
C16690,442654.99,603535.0,83.94342443175285,2009-11-17
C16696,8075228.83,7916036.75,365.0,2010-05-11
C16697,1632651.0,1700460.6,139.90570738625473,2012-08-13
C16698,2171257.84,2063124.65,210.0,2015-04-06
C16700,1128216.74,918846.55,125.91513664762928,2010-11-17
C16701A,2779795.0,3502694.5,181.8774196021312,2008-07-15
C16704,953926.22,1069195.6,69.95285369312737,2008-07-29
C16705,1258560.9,1476733.3,55.96228295450189,2009-06-01
C16706,2987574.9,2719803.7,55.96228295450189,2008-10-29
C16710,331891.5,432315.0,69.95285369312737,2008-11-03
C16731,2049430.27,2209222.5,153.8962781248802,2008-12-01
C16736,820290.0,816710.0,13.990570738625474,2008-02-07
C16737,463441.3,447929.0,41.97171221587642,2009-10-19
C16751,1628581.76,1445146.5,57.0,2012-09-05
C16754,146225.0,179936.0,41.97171221587642,2009-01-15
C16756,4280752.33,3483313.87,251.8302732952585,2015-07-15
C16758,150000.0,150000.0,13.990570738625474,2008-03-02
C16762,643818.45,578927.1,48.96699758518916,2009-09-19
C16766,640293.08,610762.95,27.981141477250947,2010-05-20
C16767,2152914.81,2799423.0,90.93870980106558,2009-07-13
