bid_item_code,category,description,unit_of_measure
403-35611,403,HBP(Grading S-Fines)(50)(PG 58-22),T
403-35701,403,Hot Mix Asphalt (Grading S-Fines) (75),TON
403-35721,403,Hot Mix Asphalt (Grading S-Fines)(75)(PG 58-28),TON
403-35731,403,Hot Mix Asphalt (Grading S-Fines)(PG 58-34),TON
403-36300,403,Hot Mix Asphalt (Grading S) (75),TON
403-36347,403,Hot Bituminous Pavement (Grading S)(Asphalt)(75)(PG 58-22),TON
403-36400,403,Hot Mix Asphalt (Grading SX) (75),TON
403-36447,403,Hot Bituminous Pavement (Grading SX)(Asphalt)(75)(PG 58-22),TON
403-36601,403,Hot Mix Asphalt (Grading ST)(50),TON
403-36621,403,Hot Mix Asphalt (Gr ST)(50)(PG 58-28),TON
403-36631,403,Hot Mix Asphalt (Grading ST)(50)(PG 58-34),TON
403-36641,403,Hot Mix Asphalt (Grading ST)(50)(PG 64-22),TON
403-36651,403,Hot Mix Asphalt (Grading ST)(50)(PG 64-28),TON
403-36661,403,Hot Mix Asphalt (Grading ST)(PG 70-28),TON
403-36671,403,Hot Mix Asphalt (Grading ST)(50)(PG 76-28),TON
403-36701,403,Hot Mix Asphalt (Grading ST)(75),TON
403-36721,403,Hot Mix Asphalt (Grading ST)(75)(PG 58-28),TON
403-36731,403,Hot Mix Asphalt (Grading ST)(75)(PG 58-34),TON
403-36741,403,Hot Mix Asphalt (Grading ST)(75)(PG 64-22),TON
403-36751,403,Hot Mix Asphalt (Grading ST)(75)(PG 64-28),TON
403-36761,403,Hot Mix Asphalt (Grading ST)(75)(PG 70-28),TON
403-36771,403,Hot Mix Asphalt  (Grading ST)(75)(PG 76-28),TON
403-36801,403,Hot Mix Asphalt (Grading ST)(100),TON
403-36821,403,Hot Mix Asphalt (Grading ST)(100)(PG 58-28),TON
403-36831,403,Hot Mix Asphalt (Grading ST)(100)(PG 58-34),TON
403-36841,403,Hot Mix Asphalt (Grading ST)(100)(PG 64-22),TON
403-36851,403,Hot Mix Asphalt (Grading ST)(100)(PG 64-28),TON
403-36861,403,Hot Mix Asphalt (Grading ST)(100)(PG 70-28),TON
403-36871,403,Hot Mix Asphalt (Grading ST)(100)(PG 76-28),TON
403-36901,403,Hot Mix Asphalt (Grading ST)(125),TON
403-36921,403,Hot Mix Asphalt (Grading ST)(125)(PG 58-28),TON
403-36931,403,Hot Mix Asphalt (Grading ST)(125)(PG 58-34),TON
403-36941,403,Hot Mix Asphalt (Grading ST)(125)(PG 64-22),TON
403-36951,403,Hot Mix Asphalt (Grading ST)(125)(PG 64-28),TON
403-36961,403,Hot Mix Asphalt (Grading ST)(125)(PG 70-28),TON
403-36971,403,Hot Mix Asphalt (Grading ST)(125)(PG 76-28),TON
403-37354,403,Hot Bituminous Pavement (Grading S)(Asphalt) (96)(PG 64-22),SY
403-37545,403,Hot Bituminous Pavement (Grading Sand Anti Fracture) (Asphal,SY
403-37601,403,Hot Mix Asphalt (Grade SF)(50),TON
403-37621,403,Hot Mix Asphalt (Grade SF)(50)(PG 58-28),TON
403-37631,403,Hot Mix Asphalt (Grade SF)(50)(PG 58-34),TON
403-37641,403,Hot Mix Asphalt (Grade SF)(50)(PG 64-22),TON
403-37651,403,Hot Mix Asphalt (Grade SF)(50)(PG 64-28),TON
403-37661,403,Hot Mix Asphalt (Grade SF)(50)(PG 70-28),TON
403-37671,403,Hot Mix Asphalt (Grade SF)(50)(PG 76-28),TON
403-37701,403,Hot Mix Asphalt (Grade SF)(75),TON
403-37721,403,Hot Mix Asphalt (Grade SF)(75)(PG 58-28),TON
403-37731,403,Hot Mix Asphalt (Grade SF)(75)(PG 58-34),TON
403-37741,403,Hot Mix Asphalt (Grade SF)(75)(PG 64-22),TON
403-37751,403,Hot Mix Asphalt (Grade SF)(75)(PG 64-28),TON
403-37761,403,Hot Mix Asphalt (Grade SF)(75)(PG 70-28),TON
403-37771,403,Hot Mix Asphalt (Grade SF)(75)(PG 76-28),TON
403-37801,403,Hot Mix Asphalt (Grade SF)(100),TON
403-37821,403,Hot Mix Asphalt (Grade SF)(100)(PG 58-28),TON
403-37831,403,Hot Mix Asphalt (Grade SF)(100)(PG 58-34),TON
403-37841,403,Hot Mix Asphalt (Grade SF)(100)(PG 64-22),TON
403-37851,403,Hot Mix Asphalt (Grade SF)(100)(PG 64-28),TON
403-37861,403,Hot Mix Asphalt (Grade SF)(100)(PG 70-28),TON
403-37871,403,Hot Mix Asphalt (Grade SF)(100)(PG 76-28),TON
403-37901,403,Hot Mix Asphalt (Grade SF)(125),TON
403-37921,403,Hot Mix Asphalt (Grade SF)(125)(PG 58-28),TON
403-37931,403,Hot Mix Asphalt (Grade SF)(125)(PG 58-34),TON
403-37941,403,Hot Mix Asphalt (Grade SF)(125)(PG 64-22),TON
403-37951,403,Hot Mix Asphalt (Grade SF)(125)(PG 64-28),TON
403-37961,403,Hot Mix Asphalt (Grade SF)(125)(PG 70-28),TON
403-37971,403,Hot Mix Asphalt (Grade SF)(125)(PG 76-28),TON
403-40000,403,HMA Safety Edge,LF
403-91401,403,Hot Bituminous Pavement (Grading SX) (68)(Special),TON
403-92441,403,Hot Bituminous Pavement (Grading SX) (76) (PG 58-40)(Special,T
403-95353,403,Hot Bituminous Pavement (Grading S)(Asphalt) (109)(PG 58-22),TON
403-96600,403,Hot Mix Asphalt (Grading Fines) (50),TON
405-00000,405,Heating and Scarifying Treatment,SY
405-00050,405,Heating and Scarifying Treatment (Alternative Systems),SY
405-00100,405,Heating and Remixing Treatment,SY
405-00101,405,Heating and Remixing Treatment  (Special),SY
405-00200,405,Virgin Hot Bituminous Plant Mix,TON
405-00300,405,Heating and Repaving Treatment,SY
406-07000,406,Aggregate For Road Mix Bituminous Pavement (Class 7),TON
406-09000,406,Aggregate For Road Mix Bituminous Pavement (Special),TON
406-09100,406,Road Mix Bituminous Pavement,TON
406-09500,406,Cold Bituminous Pavement (Recycle),SY
406-09501,406,Cold Bituminous Pavement (Recycled),TON
406-09505,406,Cold Bituminous Pavement (Recycle)(Special),SY
406-09520,406,Cold Bituminous Pavement (Stockpile),TON
406-09530,406,Repair of Cold Bituminous Pavement (Recycle),SY
407-03000,407,Blotter Material,TON
407-04000,407,Coal-Tar Seal/Rejuvenator (Airport),GAL
407-09000,407,Crackfilling (Application),SY
408-01000,408,Hot Poured Joint and Crack Sealant,TON
408-01100,408,Joint Sealant,LF
408-01200,408,Cold Joint and Crack Sealant,T
408-01300,408,HMA Mix Crack Sealant,TON
408-01400,408,Crack Sealant (Special),TON
408-02000,408,Injection Holes,EACH
409-00110,409,Stockpile Cover Coat Material,TON
409-01010,409,Cover Coat Material (Type I),TON
409-01015,409,Cover Coat Material (Type I),SY
409-01020,409,Cover Coat Material (Type I) (Lightweight),CY
409-02010,409,Cover Coat Material (Type II),TON
409-02015,409,Cover Coat Material (Type II),SY
409-02018,409,Place Cover Coat Material (Type II),SY
409-02020,409,Cover Coat Material (Type II) (Lightweight),CY
409-02025,409,Cover Coat Material (Type II) (Lightweight),SY
409-02030,409,Cover Coat Material (Type I) (Special),SY
409-02050,409,Cover Coat Material (Type II) (Special),TON
409-02055,409,Cover Coat Material (Type II) (Special),SY
409-03010,409,Cover Coat Material (Type III),TON
409-03050,409,Place Cover Coat Material,TON
409-03055,409,Place Cover Coat Material,SY
409-03060,409,Furnish Cover Coat Material,TON
409-04010,409,Cover Coat Material (Type IV),TON
409-04050,409,Cover Coat Material (Special),SY
409-04060,409,Cover Coat Material (Asphalt) (Special),TON
409-05000,409,Ultrathin Bonded Wearing Course,SY
409-05010,409,Thin Bonded Wearing Course (Non-Bituminous),SY
409-05011,409,Thin Bonded Polymer Overlay,SY
409-05100,409,Anti-Icing Polymer Overlay,SF
409-06000,409,Surfacing (macro style),SY
409-08000,409,Squeegee Seal,SY
409-09000,409,Micro-Surfacing Seal Coat,TON
409-09010,409,Micro-Surfacing Aggregate,TON
409-09500,409,Slurry Seal Material,SY
410-00000,410,Slurry Seal Coat,SY
410-00100,410,Slurry Seal Coat (Airport),SY
410-01000,410,Plant Mixed Seal Coat (Type A),TON
410-01010,410,Plant Mixed Seal Coat (Type A) (Haul),TON
410-01020,410,Plant Mixed Seal Coat (Type A) (Haul and Asphalt),TON
410-01024,410,Plant Mixed Seal Coat (Type A) (Asphalt) (Rubberized),TON
410-01510,410,Plant Mixed Seal Coat (Type AB),TON
410-01520,410,Plant Mixed Seal Coat (Type AB) (Asphalt),T
410-01524,410,Plant Mixed Seal Coat (Type AB) (Asphalt) (Rubberized),TON
410-02000,410,Plant Mixed Seal Coat (Type B),TON
410-02002,410,Plant Mixed Seal Coat (Type B) (Hydrated Lime),TON
410-02010,410,Plant Mixed Seal Coat (Type B) (Haul),TON
410-02020,410,Plant Mixed Seal Coat (Type B) (Asphalt),TON
410-02024,410,Plant Mixed Seal Coat (Type B) (Asphalt) (Rubberized),TON
410-03000,410,Plant Mixed Seal Coat (Type C),TON
410-03020,410,Plant Mixed Seal Coat (Type C) (Asphalt),TON
411-01050,411,Asphalt Cement (AC-5),TON
411-01051,411,Asphalt Cement (AC-5) (Fortified),TON
411-01100,411,Asphalt Cement (AC-10),TON
411-01101,411,Asphalt Cement (AC-10) (Fortified),T
411-01104,411,Asphalt Cement (AC-10) (Rubberized),TON
411-01105,411,Asphalt Cement (AC-10) (Scrap Rubber),TON
411-01200,411,Asphalt Cement (AC-20),TON
411-01201,411,Asphalt Cement (AC-20) (Fortified),T
411-01202,411,Asphalt Cement (AC-20) (Rubberized) (Fortified),TON
411-01204,411,Asphalt Cement (AC-20) (Rubberized),TON
411-03000,411,Asphalt Cement (Catalytically Blown) (50-60 Pen),TON
411-03100,411,Asphalt Cement (Scrap Rubber) (Crack Filler),TON
411-03110,411,Asphalt Cement (Rubberized) (Crack Filler),TON
411-03200,411,Asphalt Cement (Polymer Modified) (Special),TON
411-03313,411,Asphalt Cement (Polymer Modified) (Type I-D),TON
411-03333,411,Asphalt Cement (Polymer Modified) (Type III-D),TON
411-03341,411,Asphalt Cement Performance Grade (PG 58-40),TON
411-03342,411,Asphalt Cement Performance Grade (PG 64-28),TON
411-03343,411,Asphalt Cement Performance Grade (PG 64-34),TON
411-03344,411,Asphalt Cement Performance Grade (PG 70-34),TON
411-03345,411,Asphalt Cement Performance Grade (PG 76-28),TON
411-03346,411,Asphalt Cement (PG 70-28),TON
411-03351,411,Asphalt Cement Performance Grade (PG 52-28),TON
411-03352,411,Asphalt Cement Performance Grade (PG 58-28),TON
411-03353,411,Asphalt Cement Performance Grade (PG 58-22),TON
411-03354,411,Asphalt Cement Performance Grade (PG 64-22),TON
411-03355,411,Asphalt Cement Performance Grade (PG 58-34),TON
411-10000,411,Emulsified Asphalt (CQS-1HP),GAL
411-10010,411,Emulsified Asphalt (CQS-1HP) (Fog) (Airport),GAL
411-10025,411,Emulsified Asphalt (Special) (CQS-1hL),TON
411-10100,411,Emulsified Asphalt (CRF),GAL
411-10200,411,Emulsified Asphalt (CRS-1),GAL
411-10212,411,Emulsified Asphalt (CRS-2),L
411-10214,411,Emulsified Asphalt (CRS-2H),GAL
411-10216,411,Emulsified Asphalt (CRS-2P),GAL
411-10217,411,Emulsified Asphalt (CRS-2P),TON
411-10218,411,Emulsified Asphalt (CRS-2R),GAL
411-10220,411,Emulsified Asphalt (CRS-2R) (Cationic Rubberized),GAL
411-10251,411,Emulsified Asphalt (CSS-1),GAL
411-10252,411,Emulsified Asphalt (CSS-1P),GAL
411-10253,411,Emulsified Asphalt (CSS-1H),GAL
411-10254,411,Emulsified Asphalt (CSS-1H) (Modified),GAL
411-10255,411,Emulsified Asphalt (Slow-Setting),GAL
411-10258,411,Emulsified Asphalt (Rapid-Setting)(Polymerized),TON
411-10259,411,Emulsified Asphalt (Medium-Setting)(Polymerized),TON
411-10260,411,Emulsified Asphalt (Rapid-Setting) (Polymerized),GAL
411-10261,411,Emulsified Asphalt (Rapid-Setting-2P)(Polymerized),GAL
411-10262,411,Emulsified Asphalt (Medium-Setting) (Polymerized),GAL
411-10265,411,Emulsified Asphalt (Polymerized),GAL
411-10275,411,Emulsified Asphalt (HFMS-2P) (High Float) (Polymerized),GAL
411-10276,411,Emulsified Asphalt (HFMS-2SP) (High Float) (Polymerized),GAL
411-10277,411,Emulsified Asphalt (HFMS-2HP) (High Float),GAL
411-10280,411,Emulsified Asphalt (HFMS-80SC) (High Float),GAL
411-10300,411,Emulsified Asphalt (Prime Coat),GAL
411-10375,411,Emulsified Asphalt (HFRS-2P) (High Float) (Polymerized),GAL
411-10500,411,Cold Paving Emulsion,TON
411-20000,411,Asphaltic Felt Paper (30 lb.),SY
411-21010,411,Liquid Asphaltic Material (MC-30),GAL
411-21020,411,Liquid Asphaltic Material (MC-70),GAL
411-21050,411,Liquid Asphaltic Material (MC-250),GAL
411-21051,411,Liquid Asphaltic Material (MC-250) (Fortified),GAL
411-21160,411,Liquid Asphaltic Material (MC-800),GAL
411-21161,411,Liquid Asphaltic Material (MC-800) (Fortified),GAL
411-21600,411,Liquid Asphaltic Material (MC-3000),GAL
411-21601,411,Liquid Asphaltic Material (MC-3000) (Fortified),GAL
411-22050,411,Liquid Asphaltic Material (RC-250),GAL
411-22051,411,Liquid Asphaltic Material (RC-250) (Fortified),GAL
411-22160,411,Liquid Asphaltic Material (RC-800),GAL
411-22161,411,Liquid Asphaltic Material (RC-800) (Fortified),GAL
411-22162,411,Liquid Asphaltic Material (RC-800) (Rubberized),GAL
411-22600,411,Liquid Asphaltic Material (RC-3000),GAL
411-22601,411,Liquid Asphaltic Material (RC-3000) (Fortified),GAL
411-22900,411,Liquid Asphalt Material (Gilsonite),GAL
411-29000,411,Place Liquid Asphaltic Material,GAL
411-90010,411,Asphalt Rejuvenating Agent,GAL
411-90030,411,Recycling Agent,TON
411-90040,411,Recycling Agent,GAL
411-90050,411,Emulsified Recycling Agent,GAL
412-00000,412,Furnish Concrete Pavement,CY
412-00050,412,Place Concrete Pavement,SY
412-00101,412,Portland Cement Concrete Pavement 5 Year Warranty,SY
412-00110,412,Warranted Portland Cement Concrete Pavement (10 Inch),SY
412-00111,412,Warranted Portland Cement Concrete Pavement (11 Inch),SY
412-00113,412,Warranted Portland Cement Concrete Pavement (13 Inch),SY
412-00125,412,Warranted Portland Cement Concrete Pavement (12 1/2 Inch),SY
412-00130,412,Warranted Portland Cement Concrete Pavement System,SY
412-00190,412,Concrete Pavement (Patching),SY
412-00200,412,Roller Compacted Concrete Pavement (7 3/4 Inch),SY
412-00400,412,Concrete Pavement (4 Inch),SY
412-00500,412,Concrete Pavement (5 Inch),SY
412-00505,412,Concrete Pavement (5 Inch) (Fast Track),SY
412-00550,412,Concrete Pavement (5 1/2 Inch),SY
412-00600,412,Concrete Pavement (6 Inch),SY
412-00601,412,Concrete Pavement (6 Inch) (Special),SY
412-00605,412,Concrete Pavement (6 Inch) (Fast Track),SY
412-00615,412,Concrete Pavement (6 Inch) (Reinforced),SY
412-00650,412,Concrete Pavement (6-1/2 Inch),SY
412-00700,412,Concrete Pavement (7 Inch),SY
412-00701,412,Concrete Pavement (7 Inch) (Special),SY
412-00705,412,Concrete Pavement (7 Inch) (Fast Track),SY
412-00715,412,Concrete Pavement (7 Inch) (Reinforced),SY
412-00750,412,Concrete Pavement (7-1/2 Inch),SY
412-00752,412,Concrete Pavement (7 1/2 In) (Fast Track),SY
412-00760,412,Concrete Pavement (7-3/4 Inch),SY
412-00800,412,Concrete Pavement (8 Inch),SY
412-00801,412,Concrete Pavement (8 Inch) (Special),SY
412-00805,412,Concrete Pavement (8 Inch) (Fast Track),SY
412-00810,412,Concrete Pavement (8 Inch) (Transverse Neoprene Joint),SY
412-00815,412,Concrete Pavement (8 Inch) (Reinforced),SY
412-00825,412,Concrete Pavement (8-1/4 Inch),SY
412-00835,412,Concrete Pavement (8-1/4 Inch) (Fast Track),SY
412-00850,412,Concrete Pavement (8-1/2 Inch),SY
412-00851,412,Concrete Pavement (8-1/2 Inch) (Special),SY
412-00870,412,Concrete Pavement (8-1/2 Inch) (Fast Track),SY
412-00875,412,Concrete Pavement (8-3/4 Inch),SY
412-00900,412,Concrete Pavement (9 Inch),SY
412-00901,412,Concrete Pavement (9 Inch) (Special),SY
412-00905,412,Concrete Pavement (9-1/16 Inch),SY
412-00920,412,Concrete Pavement (9 Inch) (Fast Track),SY
412-00925,412,Concrete Pavement (9-1/4 Inch),SY
412-00926,412,Concrete Pavement (9-1/4 Inch) (Special),SY
412-00927,412,Concrete Pavement (9-1/4 Inch) (Fast Track),SY
412-00950,412,Concrete Pavement (9-1/2 Inch),SY
412-00951,412,Concrete Pavement (9-1/2 Inch) (Special),SY
412-00952,412,Concrete Pavement (9 1/2 Inch) (Fast Track),SY
412-00975,412,Concrete Pavement (9-3/4 Inch),SY
412-00976,412,Concrete Pavement (9-3/4) (Class E),SY
412-00977,412,Concrete Pavement (9-3/4 Inch)(Special),SY
412-01000,412,Concrete Pavement (10 Inch),SY
412-01001,412,Concrete Pavement (10 Inch) (Special),SY
412-01015,412,Concrete Pavement (10 Inch) (Reinforced),SY
412-01020,412,Concrete Pavement (10 Inch) (Fast Track),SY
412-01025,412,Concrete Pavement (10-1/4 Inch),SY
412-01035,412,Concrete Pavement (10 1/4 Inch)(Fast Track),SY
412-01050,412,Concrete Pavement (10-1/2 Inch),SY
412-01055,412,Concrete Pavement (10-1/2 Inch) (Special),SY
412-01060,412,Concrete Pavement (10-1/2 Inch) (Fast Track),SY
412-01065,412,Concrete Pavement (10-1/2 Inch) (Reinforced),SY
412-01075,412,Concrete Pavement (10-3/4 Inch),SY
412-01100,412,Concrete Pavement (11 Inch),SY
412-01105,412,Concrete Pavement (11 Inch) (Special),SY
412-01120,412,Concrete Pavement (11 Inch) (Fast Track),SY
412-01125,412,Concrete Pavement (11-1/4 Inch),SY
412-01150,412,Concrete Pavement (11-1/2 Inch),SY
412-01152,412,Concrete Pavement (11-1/2 Inch) (Fast Track),SY
412-01155,412,Concrete Pavement (11-1/2 Inch) (Special),SY
412-01200,412,Concrete Pavement (12 Inch),SY
412-01215,412,Concrete Pavement (12 Inch) (Reinforced),SY
412-01220,412,Concrete Pavement (12 Inch) (Fast Track),SY
412-01250,412,Concrete Pavement (12-1/2 Inch),SY
412-01252,412,Concrete Pavement (12 1/2 Inch) (Fast Track),SY
412-01255,412,Concrete Pavement (12 Inch) (Special),SY
412-01265,412,Concrete Pavement (12-1/2 Inch)(Reinforced),SY
412-01300,412,Concrete Pavement (13 Inch),SY
412-01325,412,Concrete Pavement (13 Inch)(Fast Track),SY
412-01350,412,Concrete Pavement (13-1/2 Inch),SY
412-01352,412,Concrete Pavement (13-1/2 In) (Fast Track),SY
412-01400,412,Concrete Pavement (14 Inch),SY
412-01500,412,Concrete Pavement (15 Inch),SY
412-02000,412,Concrete Safety Edge,LF
412-03000,412,Concrete Pavement System,SY
412-04000,412,Concrete Pavement Panel (Precast),SF
412-04008,412,Concrete Pavement Panel (Precast) (12X8),EACH
412-04012,412,Concrete Pavement Panel (Precast) (12X12),EACH
412-05000,412,Partial Depth Repair of Concrete Pavement,SF
412-05100,412,Polyurethane Slab Jacking,LB
412-06000,412,Furnish Concrete Pavement Thin Whitetopping,CY
412-06060,412,Concrete Pavement Thin Whitetopping (6 Inch),SY
412-10000,412,Sawing Concrete Pavement,LF
412-10010,412,Texturing,SY
412-11000,412,Concrete Pavement Dowel Bar Retrofit,EACH
412-13000,412,Concrete Pavement Joint Repair,EACH
412-13005,412,Concrete Pavement Joint Repair,LF
412-14000,412,Sawing and Sealing Concrete Pavement Joints,LF
412-15000,412,Routing and Sealing Concrete Pavement Cracks,LF
412-15010,412,Cleaning and Grouting Concrete Pavement Joint,LF
412-15050,412,Cross Stitching,EACH
412-15060,412,Repair Concrete Cracks (Stitch),EACH
412-16000,412,Cleaning and Sealing Concrete Pavement Joints,LF
412-17000,412,Load Transfer Devices,EACH
412-18000,412,Crack and Seat Concrete Pavement,SY
412-18010,412,Rubbilization of Concrete Pavement (Crack and Seat),SY
412-18020,412,Rubbilization of Concrete Pavement (Resonant Breaker),SY
412-18030,412,Rubbilization of Concrete Pavement (Multi-Head Breaker),SY
412-18050,412,Rubbilization of Concrete Pavement,SY
412-19000,412,Hot Poured Concrete Joint Sealant,LF
412-30008,412,Precast Concrete Pavement (8 Inch),SY
412-30800,412,Concrete Pavement (8 Inch) (Shrp),SY
412-30801,412,Concrete Pavement (8 Inch) (Special) (Shrp),SY
412-31100,412,Concrete Pavement (11 Inch) (Shrp),SY
412-31101,412,Concrete Pavement (11 Inch) (Special) (Shrp),SY
412-80001,412,Shoulder Pavement Alternate,SY
420-00000,420,Geomembrane,SY
420-00100,420,Geotextile (Erosion Control) (Class A),SY
420-00101,420,Geotextile (Erosion Control) (Class B),SY
420-00102,420,Geotextile (Erosion Control) (Class 1),SY
420-00103,420,Geotextile (Erosion Control) (Class 2),SY
420-00104,420,Geotextile (Erosion Control) (Class 3),SY
420-00110,420,Geotextile (Drainage) (Class A),SY
420-00111,420,Geotextile (Drainage) (Class B),SY
420-00112,420,Geotextile (Drainage) (Class 1),SY
420-00113,420,Geotextile (Drainage) (Class 2),SY
420-00114,420,Geotextile (Drainage) (Class 3),SY
420-00120,420,Silt Fence,LF
420-00130,420,Geotextile (Separator) (Class A),SY
420-00131,420,Geotextile (Separator) (Class B),SY
420-00132,420,Geotextile (Separator) (Class 1),SY
420-00133,420,Geotextile (Separator) (Class 2),SY
420-00134,420,Geotextile (Separator) (Class 3),SY
420-00150,420,Maintain Silt Fence,LF
420-00200,420,Geotextile (Weed Barrier),SY
420-00201,420,Geotextile (Weed Barrier) (Special),SY
420-00300,420,Geotextile (Reinforcement),SY
420-00400,420,Media Filter Drain (MFD) mix (Type 1),CY
420-00500,420,Geotextile (Paving),SY
420-00505,420,Geotextile (Paving) (Special),SY
420-00510,420,Geotextile (Crack Reduction) (High Density),SY
420-00511,420,Asphalt Reinforcement Geogrid,SY
420-00520,420,Geogrid Pavement Reinforcement,SY
420-00526,420,Cellular Geogrid,SY
501-00000,501,Steel Sheet Piling (Type I),SF
501-00200,501,Steel Sheet Piling (Type II),SF
501-00210,501,Steel Sheet Piling Cap,LF
501-00300,501,Drive Steel Sheet Piling,SF
502-00000,502,Treated Timber Piling,LF
502-00100,502,Drilling Hole to Facilitate Pile Driving,LF
502-00140,502,Blast Hole to Facilitate Pile Driving,LF
502-00150,502,Blast Hole to Facilitate Pile Driving,EACH
502-00200,502,Drive Steel Piling,LF
502-00210,502,Drive Timber Piling,LF
502-00215,502,Drive Piling,L S
502-00400,502,End Plate,EACH
502-00450,502,Reinforcing Tip,EACH
502-00460,502,Pile Tip,EACH
502-00500,502,Complete Join Penetration (CJP) Splice,EACH
502-01000,502,Bitumen Coating,LF
502-01100,502,Retapping,EACH
502-01120,502,Restriking Pile,EACH
502-01150,502,Load Test Equipment,L S
502-01200,502,Static Load Test,EACH
502-02000,502,Dynamic Load Testing,L S
502-03500,502,Steel Pipe Pile (7-5/8x0.500),LF
502-07314,502,Steel Pipe Piling (10-3/4 X 0.219 Inch),LF
502-08114,502,Steel Pipe Piling (12-3/4 X 0.219 Inch),LF
502-08250,502,Steel Pipe Piling (12-3/4 X 0.250 Inch),LF
502-08330,502,Steel Pipe Piling (12-3/4 X 0.330 Inch),LF
502-08375,502,Steel Pipe Piling (12-3/4 X 0.375 Inch),LF
502-08500,502,Steel Pipe Piling (12-3/4 X 0.500 Inch),LF
502-08502,502,Steel Pipe Pile (18x0.625 Inch),LF
502-08505,502,Steel Pipe Piling (24 X 0.500 Inch)(Special),LF
502-10836,502,Steel Piling (HP 8x36),LF
502-11042,502,Steel Piling (HP 10x42),LF
502-11057,502,Steel Piling (HP 10x57),LF
502-11253,502,Steel Piling (HP 12x53),LF
502-11263,502,Steel Piling (HP 12x63),LF
502-11274,502,Steel Piling (HP 12x74),LF
502-11275,502,Steel Piling (HP 12X74) (Install Only),LF
502-11284,502,Steel Piling (HP 12x84),LF
502-11473,502,Steel Piling (HP 14x73),LF
502-11489,502,Steel Piling (HP 14x89),LF
502-14102,502,Steel Piling (HP 14x102),LF
502-14117,502,Steel Piling (HP 14x117),LF
502-18135,502,Steel Pile (HP 18X135),LF
502-20209,502,Corrugated Steel Pipe Piling (8x14x0.2092 Inch),LF
502-29000,502,Structure Foundation System (Alternates),EACH
503-00000,503,Ground Improvement,SF
503-00001,503,Drilled Caisson (__  Inch Diameter),LF
503-00012,503,Drilled Caisson (12 Inch),LF
503-00016,503,Drilled Caisson (16 Inch),LF
503-00018,503,Drilled Caisson (18 Inch),LF
503-00024,503,Drilled Caisson (24 Inch),LF
503-00025,503,Drilled Caisson (24 Inch)(Special),LF
503-00030,503,Drilled Caisson (30 Inch),LF
503-00036,503,Drilled Caisson (36 Inch),LF
503-00037,503,Drilled Caisson (36 Inch)(Special),LF
503-00042,503,Drilled Caisson (42 Inch),LF
503-00043,503,Drilled Caisson (43 Inch),LF
503-00048,503,Drilled Caisson (48 Inch),LF
503-00049,503,Drilled Caisson (1222 mm),M
503-00054,503,Drilled Caisson (54 Inch),LF
503-00055,503,Drilled Caisson (54 Inch)(Special),LF
503-00060,503,Drilled Caisson (60 Inch),LF
503-00066,503,Drilled Caisson (66 Inch),LF
503-00072,503,Drilled Caisson (72 Inch),LF
503-00078,503,Drilled Caisson (78 Inch),LF
503-00084,503,Drilled Caisson (84 Inch),LF
503-00096,503,Drilled Caisson (96 Inch),LF
503-00102,503,Drilled Caisson (102 Inch),LF
503-00200,503,Caisson (Special),LF
503-00210,503,Aggregate Column Ground Improvement,L S
503-00300,503,Caisson Load Test,EACH
503-00310,503,Crosshole Sonic Logging Testing,EACH
503-00400,503,Drilling and Logging Bores,LF
503-00536,503,Jet Grouted Shaft (36 Inch),LF
503-01060,503,Micropile (6 Inch),LF
503-01070,503,Micropile (7 Inch),LF
503-01080,503,Micropile (8 Inch),LF
503-01120,503,Micropile (12 Inch),LF
503-02000,503,Verification Test Pile,EACH
504-00001,504,Concrete Cribbing (Design A),SF
504-00002,504,Concrete Cribbing (Design B),SF
504-00003,504,Concrete Cribbing (Design C),SF
504-00004,504,Concrete Cribbing (Design D),SF
504-00100,504,Concrete Cribbing,SF
504-00342,504,Retaining Wall (32)(Alternative Systems),L S
504-00346,504,Retaining Wall (36)(Alternative Systems),L S
504-01001,504,Steel Cribbing (Design A),SF
504-01002,504,Steel Cribbing (Design B),M2
504-01003,504,Steel Cribbing (Design C),SF
504-01004,504,Steel Cribbing (Design D),SF
504-01005,504,Steel Cribbing (Design E),SF
504-01020,504,Place Steel Cribbing,SF
504-02001,504,Timber Cribbing (Type A),SF
504-02002,504,Timber Cribbing (Type B),SF
504-02003,504,Timber Cribbing (Type C),SF
504-02004,504,Timber Cribbing (Type D),SF
504-02005,504,Timber Cribbing (Type E),SF
504-02020,504,Place Timber Cribbing,SF
504-03000,504,Reinforced Earth Wall,SF
504-03100,504,Reinforced Earth Wall (Curved Facing),SF
504-03200,504,Reinforced Earth Wall (Barrier Facing),SF
504-03301,504,Retaining Wall (1),L S
504-03302,504,Retaining Wall (2),L S
504-03303,504,Retaining Wall (3),L S
504-03304,504,Retaining Wall (4),L S
504-03305,504,Retaining Wall (5),L S
504-03306,504,Retaining Wall (6),L S
504-03307,504,Retaining Wall (7),L S
504-03311,504,Retaining Wall (1)(Alternative Systems),L S
504-03312,504,Retaining Wall (2)(Alternative Systems),L S
504-03313,504,Retaining Wall (3)(Alternative Systems),L S
504-03314,504,Retaining Wall (4)(Alternative Systems),L S
504-03315,504,Retaining Wall (5)(Alternative Systems),L S
504-03316,504,Retaining Wall (6)(Alternative Systems),L S
504-03317,504,Retaining Wall (7)(Alternative Systems),L S
